brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,21.78,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,22.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,23.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2026-04-02,2026,4,Q2,17.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2026-04-02,2026,4,Q2,17.98,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2026-04-02,2026,4,Q2,19.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2026-04-02,2026,4,Q2,20.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,23.68,3,10.0,2.5,185.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,25.68,3,10.0,2.5,185.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2024-07-12,2024,7,Q3,17.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2024-07-12,2024,7,Q3,19.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,1,汽油,92,2024-07-12,2024,7,Q3,20.88,3,10.0,2.0,173.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,20.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,21.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
